mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_weights,param_n_neighbors,param_metric,param_leaf_size,param_algorithm,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
0.023895859718322754,0.002812981605529785,6.35082733631134,0.25720465183258057,uniform,20,cosine,50,auto,"{'weights': 'uniform', 'n_neighbors': 20, 'metric': 'cosine', 'leaf_size': 50, 'algorithm': 'auto'}",0.5841198319430068,0.5902088534372526,0.5871643426901296,0.00304451074712292,3
0.024461746215820312,0.0003917217254638672,5.743100643157959,0.30704450607299805,distance,11,cosine,30,brute,"{'weights': 'distance', 'n_neighbors': 11, 'metric': 'cosine', 'leaf_size': 30, 'algorithm': 'brute'}",0.5684710467027949,0.5696279607867015,0.5690495037447483,0.0005784570419533064,9
0.03107285499572754,0.0037729740142822266,5.989390015602112,0.03717076778411865,uniform,7,cosine,30,auto,"{'weights': 'uniform', 'n_neighbors': 7, 'metric': 'cosine', 'leaf_size': 30, 'algorithm': 'auto'}",0.5530658223223528,0.5525787006028131,0.552822261462583,0.00024356085976984243,13
0.020045042037963867,2.288818359375e-05,5.505083084106445,0.11520886421203613,distance,7,euclidean,50,auto,"{'weights': 'distance', 'n_neighbors': 7, 'metric': 'euclidean', 'leaf_size': 50, 'algorithm': 'auto'}",0.3301467454180113,0.3297205139134141,0.3299336296657127,0.00021311575229859825,23
0.023056387901306152,0.0017620325088500977,5.872407674789429,0.009989261627197266,uniform,3,euclidean,50,auto,"{'weights': 'uniform', 'n_neighbors': 3, 'metric': 'euclidean', 'leaf_size': 50, 'algorithm': 'auto'}",0.33690555927662424,0.3331912561651343,0.3350484077208793,0.0018571515557449791,20
0.021291732788085938,0.0012187957763671875,5.2563148736953735,0.006134390830993652,distance,20,cosine,30,brute,"{'weights': 'distance', 'n_neighbors': 20, 'metric': 'cosine', 'leaf_size': 30, 'algorithm': 'brute'}",0.5864336601108202,0.5920964501004689,0.5892650551056445,0.002831394994824321,1
0.021404027938842773,0.0006415843963623047,6.0263895988464355,0.18333816528320312,uniform,20,euclidean,30,auto,"{'weights': 'uniform', 'n_neighbors': 20, 'metric': 'euclidean', 'leaf_size': 30, 'algorithm': 'auto'}",0.42349144492480056,0.45923400109602386,0.44136272301041224,0.017871278085611647,16
0.021870017051696777,0.0012320280075073242,5.3291298151016235,0.12515532970428467,distance,15,cosine,30,auto,"{'weights': 'distance', 'n_neighbors': 15, 'metric': 'cosine', 'leaf_size': 30, 'algorithm': 'auto'}",0.5794312853924375,0.5805273092614017,0.5799792973269196,0.0005480119344821177,6
0.021836280822753906,0.001180410385131836,5.769930481910706,0.004836916923522949,uniform,15,cosine,30,auto,"{'weights': 'uniform', 'n_neighbors': 15, 'metric': 'cosine', 'leaf_size': 30, 'algorithm': 'auto'}",0.5773610180843939,0.5788223832430128,0.5780917006637034,0.0007306825793094718,7
0.022694826126098633,0.0039038658142089844,5.896289706230164,0.012587189674377441,uniform,5,euclidean,50,auto,"{'weights': 'uniform', 'n_neighbors': 5, 'metric': 'euclidean', 'leaf_size': 50, 'algorithm': 'auto'}",0.33233879315593984,0.33099920842720576,0.3316690007915728,0.0006697923643670389,22
0.024454712867736816,0.0024491548538208008,5.276063680648804,0.04675745964050293,distance,5,euclidean,30,brute,"{'weights': 'distance', 'n_neighbors': 5, 'metric': 'euclidean', 'leaf_size': 30, 'algorithm': 'brute'}",0.3328259148754795,0.3321561225111125,0.332491018693296,0.00033489618218351946,21
0.023739218711853027,0.003537774085998535,5.471636772155762,0.056884050369262695,distance,20,euclidean,50,auto,"{'weights': 'distance', 'n_neighbors': 20, 'metric': 'euclidean', 'leaf_size': 50, 'algorithm': 'auto'}",0.38975826584667844,0.4228216525604335,0.406289959203556,0.01653169335687754,17
0.02214229106903076,0.0020645856857299805,5.946760296821594,0.023377537727355957,uniform,20,cosine,30,brute,"{'weights': 'uniform', 'n_neighbors': 20, 'metric': 'cosine', 'leaf_size': 30, 'algorithm': 'brute'}",0.5841198319430068,0.5902088534372526,0.5871643426901296,0.00304451074712292,3
0.01675093173980713,0.0016788244247436523,5.258426070213318,0.03827869892120361,distance,20,cosine,50,brute,"{'weights': 'distance', 'n_neighbors': 20, 'metric': 'cosine', 'leaf_size': 50, 'algorithm': 'brute'}",0.5864336601108202,0.5920964501004689,0.5892650551056445,0.002831394994824321,1
