mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_fit_prior,param_binarize,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.3902800877888997,0.010605615358153204,0.07718904813130696,0.003360450538379681,True,0.3333333333333333,67.23357536499334,"{'fit_prior': True, 'binarize': np.float64(0.3333333333333333), 'alpha': np.float64(67.23357536499334)}",0.3397449070458811,0.3397860068773718,0.33975860698971133,0.33976317363765474,1.7086832010261243e-05,28
0.4122215112050374,0.01268700456379075,0.07632764180501302,0.004242689693300539,True,0.375,2395.026619987491,"{'fit_prior': True, 'binarize': np.float64(0.375), 'alpha': np.float64(2395.026619987491)}",0.3397449070458811,0.33975860698971133,0.33975860698971133,0.339754040341768,6.45821545614624e-06,29
0.38875341415405273,0.0016938876227210176,0.0700983206431071,0.0002491911277368607,True,0.4583333333333333,0.0030391953823131978,"{'fit_prior': True, 'binarize': np.float64(0.4583333333333333), 'alpha': np.float64(0.0030391953823131978)}",0.39347608674804435,0.3947912813557464,0.3945446823668023,0.3942706834901977,0.0005708127260421999,17
0.4043885072072347,0.001799356061070526,0.08089582125345866,0.001508991027678837,False,0.25,0.0030391953823131978,"{'fit_prior': False, 'binarize': np.float64(0.25), 'alpha': np.float64(0.0030391953823131978)}",0.6136889838751661,0.6157165755620402,0.6129217870206732,0.6141091154859598,0.001179009096806887,11
0.3957846959431966,0.004179709876214943,0.07581710815429688,0.0032322771830714373,False,0.0,0.006210169418915616,"{'fit_prior': False, 'binarize': np.float64(0.0), 'alpha': np.float64(0.006210169418915616)}",0.6989026344991985,0.7019166221418492,0.7007932267477703,0.7005374944629393,0.001243671882944865,2
0.42348535855611164,0.021005086359278974,0.09843230247497559,0.01413048893106373,False,0.20833333333333331,1.8873918221350996,"{'fit_prior': False, 'binarize': np.float64(0.20833333333333331), 'alpha': np.float64(1.8873918221350996)}",0.6910799665721371,0.6912717657857603,0.6909840669653254,0.691111933107741,0.00011960782407181385,4
0.4229880174001058,0.018994542167400097,0.07747340202331543,0.0022120844006788317,False,0.25,32.90344562312671,"{'fit_prior': False, 'binarize': np.float64(0.25), 'alpha': np.float64(32.90344562312671)}",0.4246982587371392,0.42257476744345346,0.42538325592865067,0.4242187607030811,0.0011956422726915451,16
0.3869184652964274,0.0077809582656864825,0.07182661692301433,0.0057128211484883595,False,0.8333333333333333,0.22122162910704501,"{'fit_prior': False, 'binarize': np.float64(0.8333333333333333), 'alpha': np.float64(0.22122162910704501)}",0.34166289918211334,0.3425396955872481,0.3414984998561506,0.34190036487517067,0.000457029980160546,26
0.39289172490437824,0.00641396254164617,0.07058993975321452,0.003287116659363019,True,0.4583333333333333,573.6152510448682,"{'fit_prior': True, 'binarize': np.float64(0.4583333333333333), 'alpha': np.float64(573.6152510448682)}",0.3397449070458811,0.33975860698971133,0.33975860698971133,0.339754040341768,6.45821545614624e-06,29
0.41129207611083984,0.00197197130499296,0.08516629536946614,0.0011070825001488992,False,0.16666666666666666,0.0003562247890262444,"{'fit_prior': False, 'binarize': np.float64(0.16666666666666666), 'alpha': np.float64(0.0003562247890262444)}",0.6850930911183264,0.6871617826366911,0.6845587933089474,0.6856045556879883,0.0011225225653564157,6
0.38460810979207355,0.0011973645368847266,0.06986355781555176,0.0044840336220336886,True,0.7916666666666666,1.8873918221350996,"{'fit_prior': True, 'binarize': np.float64(0.7916666666666666), 'alpha': np.float64(1.8873918221350996)}",0.3422108969353226,0.34270409491321085,0.3419916978340389,0.34230222989419073,0.0002979190959918537,25
0.40253353118896484,0.010245672253250468,0.07515605290730794,0.004242022837445841,True,0.6666666666666666,4893.900918477499,"{'fit_prior': True, 'binarize': np.float64(0.6666666666666666), 'alpha': np.float64(4893.900918477499)}",0.3397449070458811,0.33975860698971133,0.33975860698971133,0.339754040341768,6.45821545614624e-06,29
0.4163501262664795,0.004556916167435403,0.08390498161315918,0.002605152563900881,True,0.25,0.22122162910704501,"{'fit_prior': True, 'binarize': np.float64(0.25), 'alpha': np.float64(0.22122162910704501)}",0.6285671228747962,0.6302385160220844,0.6291425205156659,0.6293160531375155,0.0006932887524136643,9
0.3936527570088704,0.004995671719676445,0.07075039545694987,0.003723846149693016,True,0.6666666666666666,2395.026619987491,"{'fit_prior': True, 'binarize': np.float64(0.6666666666666666), 'alpha': np.float64(2395.026619987491)}",0.3397449070458811,0.33975860698971133,0.33975860698971133,0.339754040341768,6.45821545614624e-06,29
0.4001138210296631,0.00887079274699115,0.07634846369425456,0.0027500267740982686,True,0.41666666666666663,2.0433597178569438e-05,"{'fit_prior': True, 'binarize': np.float64(0.41666666666666663), 'alpha': np.float64(2.0433597178569438e-05)}",0.42278026660090695,0.42452015946734617,0.4256846546929158,0.42432836025372295,0.0011934425697704728,14
0.39367151260375977,0.004277613025288559,0.07515621185302734,0.0002565420102049701,True,0.375,573.6152510448682,"{'fit_prior': True, 'binarize': np.float64(0.375), 'alpha': np.float64(573.6152510448682)}",0.3397449070458811,0.33975860698971133,0.33975860698971133,0.339754040341768,6.45821545614624e-06,29
